7,6,5,8,D128,2010-04-08 16:51:08.499841,-9,2,256,337,58,157,241,324,46,143
7,6,5,8,D128,2010-04-08 16:51:25.921841,-9,3,256,337,58,157,199,304,35,120
7,6,5,8,D128,2010-04-08 16:51:38.185842,-9,4,256,337,58,157,180,273,8,101
7,6,5,8,D128,2010-04-08 16:51:50.563892,-9,5,256,337,58,157,147,251,334,69
7,6,5,8,D128,2010-04-08 16:52:03.724777,-9,6,256,337,58,157,90,196,305,34
7,6,5,8,D128,2010-04-08 16:52:16.647943,-9,7,256,337,58,157,56,120,251,332
7,6,5,8,D128,2010-04-08 16:52:28.244748,-9,8,256,337,58,157,334,8,96,236
7,6,5,8,D128,2010-04-08 16:52:39.145868,-9,9,256,337,58,157,241,332,34,148
7,6,5,8,D128,2010-04-08 16:52:52.393862,-9,10,256,337,58,157,222,318,48,150
7,6,5,8,D128,2010-04-08 16:53:03.311777,-9,11,256,337,58,157,181,268,0,101
7,6,5,8,D128,2010-04-08 16:53:27.458856,-8,11,256,337,58,157,158,253,71,98
7,6,5,8,D128,2010-04-08 16:53:43.942786,-8,10,256,337,58,157,235,319,40,137
7,6,5,8,D128,2010-04-08 16:54:03.653862,-8,9,256,337,58,157,216,308,30,133
7,6,5,8,D128,2010-04-08 16:54:17.151890,-8,8,256,337,58,157,261,340,53,158
7,6,5,8,D128,2010-04-08 16:54:28.042867,-8,7,256,337,58,157,90,217,317,14
7,6,5,8,D128,2010-04-08 16:54:47.684866,-8,6,256,337,58,157,86,192,298,11
7,6,5,8,D128,2010-04-08 16:55:07.155883,-8,5,256,337,58,157,98,200,291,19
7,6,5,8,D128,2010-04-08 16:55:22.138872,-8,4,256,337,58,157,231,309,68,154
7,6,5,8,D128,2010-04-08 16:55:43.161899,-8,3,256,337,58,157,258,342,66,160
7,6,5,8,D128,2010-04-08 16:55:57.751801,-8,2,256,337,58,157,247,329,39,132
7,6,5,8,D128,2010-04-08 16:56:13.266877,-8,1,256,337,58,157,210,302,18,110
7,6,5,8,D128,2010-04-08 16:56:30.666884,-7,1,256,337,58,157,99,231,314,54
7,6,5,8,D128,2010-04-08 16:56:53.386896,-7,2,256,337,58,157,288,343,47,129
